nSNPs,InputFileSize,ProcessingTime,MemoryUsage,OutputFileSize
2,75179,0.2891386,35230488,442
5,90241,1.623432,35002696,2735
10,115354,6.642177,35076968,11610
20,165568,27.00571,35248920,49227
50,316222,136.783716,35764112,313233
100,567313,686.514,36917256,1251106
200,1069521,2869.5036,40267688,5050138
500,2576173,22024.6884,58595024,31624642
1000,5086977,111559.68,,127023759
2000,10109474,,,
5000,25177771,,,
10000,50289223,,,
20000,100511297,,,
50000,251176805,,,
