nSNPs,InputFileSize,ProcessingTime,MemoryUseage,OutputFileSize
2,75179,0.4797509,,75485
5,90241,0.4955499,,256922
10,115354,0.5126951,,301835
20,165568,0.5754769,,900196
50,316222,0.800894,,2473296
100,567313,1.378006,,4936486
200,1069521,2.133683,,9812287
500,2576173,,,
1000,5086977,,,
2000,10109474,,,
5000,25177771,,,
10000,50289223,,,
20000,100511297,,,
50000,251176805,,,
